RecordID,StudentID,CourseID,CourseName,Grade,Credits,Semester,AcademicYear,AttemptNumber
GR001,S001,C201,Database Systems,A,4,Summer,2024-2025,1
GR002,S001,C205,Mathematics,B+,4,Fall,2024-2025,1
GR003,S001,C212,Physics,A-,3,Fall,2024-2025,1
GR004,S001,C218,Machine Learning,B,3,Fall,2024-2025,1
GR005,S002,C203,History,C+,2,Fall,2024-2025,1
GR006,S002,C223,Literature,B-,4,Summer,2024-2025,1
GR007,S002,C226,English Composition,C,3,Summer,2024-2025,1
GR008,S002,C214,Philosophy,D,4,Fall,2024-2025,1
GR009,S003,C205,Mathematics,A,4,Fall,2024-2025,1
GR010,S003,C211,Mathematics,A-,4,Summer,2024-2025,1
GR011,S003,C249,Mathematics,B+,3,Fall,2024-2025,1
GR012,S003,C213,Statistics,A,4,Fall,2024-2025,1
GR013,S004,C214,Philosophy,B,4,Fall,2024-2025,1
GR014,S004,C242,Philosophy,C+,4,Fall,2024-2025,1
GR015,S004,C203,History,B-,2,Fall,2024-2025,1
GR016,S004,C226,English Composition,A-,3,Summer,2024-2025,1
GR017,S005,C213,Statistics,C,4,Fall,2024-2025,1
GR018,S005,C225,Statistics,D+,3,Fall,2024-2025,1
GR019,S005,C230,Statistics,C-,3,Spring,2024-2025,1
GR020,S005,C211,Mathematics,F,4,Summer,2024-2025,1
GR021,S006,C206,Operating Systems,B,4,Spring,2024-2025,1
GR022,S006,C215,Networking,C+,4,Fall,2024-2025,1
GR023,S006,C216,Software Engineering,B-,4,Summer,2024-2025,1
GR024,S006,C227,Cybersecurity,C,4,Spring,2024-2025,1
GR025,S007,C214,Philosophy,D,4,Fall,2024-2025,1
GR026,S007,C242,Philosophy,F,4,Fall,2024-2025,1
GR027,S007,C203,History,D+,2,Fall,2024-2025,1
GR028,S007,C226,English Composition,C-,3,Summer,2024-2025,1
GR029,S008,C206,Operating Systems,A-,4,Spring,2024-2025,1
GR030,S008,C215,Networking,B+,4,Fall,2024-2025,1
GR031,S008,C217,Data Structures,A,2,Spring,2024-2025,1
GR032,S008,C204,Algorithms,B,4,Fall,2024-2025,1
GR033,S009,C212,Physics,B+,3,Fall,2024-2025,1
GR034,S009,C221,Physics,B,2,Spring,2024-2025,1
GR035,S009,C205,Mathematics,A-,4,Fall,2024-2025,1
GR036,S009,C218,Machine Learning,B-,3,Fall,2024-2025,1
GR037,S010,C219,Computer Science,A,3,Summer,2024-2025,1
GR038,S010,C201,Database Systems,B+,4,Summer,2024-2025,1
GR039,S010,C217,Data Structures,A-,2,Spring,2024-2025,1
GR040,S010,C204,Algorithms,B,4,Fall,2024-2025,1
GR041,S011,C206,Operating Systems,C,4,Spring,2024-2025,1
GR042,S011,C215,Networking,D+,4,Fall,2024-2025,1
GR043,S011,C216,Software Engineering,C-,4,Summer,2024-2025,1
GR044,S011,C227,Cybersecurity,D,4,Spring,2024-2025,1
GR045,S012,C206,Operating Systems,F,4,Spring,2024-2025,1
GR046,S012,C215,Networking,F,4,Fall,2024-2025,1
GR047,S012,C216,Software Engineering,D,4,Summer,2024-2025,1
GR048,S012,C227,Cybersecurity,F,4,Spring,2024-2025,1
GR049,S013,C206,Operating Systems,B+,4,Spring,2024-2025,1
GR050,S013,C215,Networking,A-,4,Fall,2024-2025,1
GR051,S013,C216,Software Engineering,B,4,Summer,2024-2025,1
GR052,S013,C204,Algorithms,A,4,Fall,2024-2025,1
GR053,S014,C208,Economics,C+,4,Summer,2024-2025,1
GR054,S014,C232,Economics,D,4,Summer,2024-2025,1
GR055,S014,C205,Mathematics,C,4,Fall,2024-2025,1
GR056,S014,C203,History,B-,2,Fall,2024-2025,1
GR057,S015,C206,Operating Systems,A,4,Spring,2024-2025,1
GR058,S015,C215,Networking,A-,4,Fall,2024-2025,1
GR059,S015,C217,Data Structures,A,2,Spring,2024-2025,1
GR060,S015,C204,Algorithms,B+,4,Fall,2024-2025,1
GR061,S016,C203,History,D+,2,Fall,2024-2025,1
GR062,S016,C226,English Composition,F,3,Summer,2024-2025,1
GR063,S016,C243,English Composition,D,3,Fall,2024-2025,1
GR064,S016,C214,Philosophy,F,4,Fall,2024-2025,1
GR065,S017,C214,Philosophy,B,4,Fall,2024-2025,1
GR066,S017,C242,Philosophy,C+,4,Fall,2024-2025,1
GR067,S017,C223,Literature,B-,4,Summer,2024-2025,1
GR068,S017,C226,English Composition,A-,3,Summer,2024-2025,1
GR069,S018,C205,Mathematics,A,4,Fall,2024-2025,1
GR070,S018,C211,Mathematics,A,4,Summer,2024-2025,1
GR071,S018,C249,Mathematics,A-,3,Fall,2024-2025,1
GR072,S018,C213,Statistics,B+,4,Fall,2024-2025,1
GR073,S019,C203,History,B,2,Fall,2024-2025,1
GR074,S019,C223,Literature,C+,4,Summer,2024-2025,1
GR075,S019,C226,English Composition,B-,3,Summer,2024-2025,1
GR076,S019,C214,Philosophy,C,4,Fall,2024-2025,1
GR077,S020,C220,Biology,A-,3,Fall,2024-2025,1
GR078,S020,C212,Physics,B+,3,Fall,2024-2025,1
GR079,S020,C202,Chemistry,B,3,Spring,2024-2025,1
GR080,S020,C205,Mathematics,A,4,Fall,2024-2025,1
GR081,S021,C203,History,C,2,Fall,2024-2025,1
GR082,S021,C223,Literature,D+,4,Summer,2024-2025,1
GR083,S021,C226,English Composition,C-,3,Summer,2024-2025,1
GR084,S021,C214,Philosophy,D,4,Fall,2024-2025,1
GR085,S022,C205,Mathematics,A+,4,Fall,2024-2025,1
GR086,S022,C211,Mathematics,A,4,Summer,2024-2025,1
GR087,S022,C249,Mathematics,A,3,Fall,2024-2025,1
GR088,S022,C213,Statistics,A-,4,Fall,2024-2025,1
GR089,S023,C206,Operating Systems,B,4,Spring,2024-2025,1
GR090,S023,C215,Networking,B+,4,Fall,2024-2025,1
GR091,S023,C216,Software Engineering,A-,4,Summer,2024-2025,1
GR092,S023,C227,Cybersecurity,B,4,Spring,2024-2025,1
GR093,S024,C212,Physics,C+,3,Fall,2024-2025,1
GR094,S024,C221,Physics,C,2,Spring,2024-2025,1
GR095,S024,C205,Mathematics,B-,4,Fall,2024-2025,1
GR096,S024,C213,Statistics,C+,4,Fall,2024-2025,1
GR097,S025,C213,Statistics,B+,4,Fall,2024-2025,1
GR098,S025,C225,Statistics,A-,3,Fall,2024-2025,1
